TxnHash,Ts,Dt,Action,Buyer,NFT,TokenID,TType,Quantity,Price,Market
0x8b43ed64a368c9e8f5f386f1196c1d321cbd19d3218681702037e68c28949ad5,1575588770,2019-12-05 23:32:50,Bought,0xde095cf19e81d911fc3f0719d836baa80f86fe15,Sandbox's LANDs,107466,ERC721,1,0.29444444444444445 ETH ($43.683777777777784),Opensea
0x8b43ed64a368c9e8f5f386f1196c1d321cbd19d3218681702037e68c28949ad5,1575588770,2019-12-05 23:32:50,Bought,0xde095cf19e81d911fc3f0719d836baa80f86fe15,Sandbox's LANDs,107467,ERC721,1,0.29444444444444445 ETH ($43.683777777777784),Opensea
0x8b43ed64a368c9e8f5f386f1196c1d321cbd19d3218681702037e68c28949ad5,1575588770,2019-12-05 23:32:50,Bought,0xde095cf19e81d911fc3f0719d836baa80f86fe15,Sandbox's LANDs,107468,ERC721,1,0.29444444444444445 ETH ($43.683777777777784),Opensea
0xdb87af25ca7660c18ca25dc051d83dc0de3666aaf995e48a0d136f3487301e80,1575593242,2019-12-06 00:47:22,Bought,0xc9a9178c925db8974952c2d58b8c9742023d918f,Sandbox's LANDs,97275,ERC721,1,0.4 ETH ($59.624),Opensea
0x1e2f996694331ce0769266074f7c1ab8c3f83712429a3d23dcd127e8f6ed4421,1575633517,2019-12-06 11:58:37,Bought,0x4f31a624a3efb2bbd76ea5e1c20aafc51f22a82b,Sandbox's LANDs,98929,ERC721,1,0.4 ETH ($59.624),Opensea
0x1433298c80a0d199a2296e28244758897201d20fcf308acfff38fb0bfd21c542,1575643275,2019-12-06 14:41:15,Bought,0x51c18217fd5cd24bff32f272eff9f2cac6a0dd32,Sandbox's LANDs,102600,ERC721,1,0.348 ETH ($51.872879999999995),Opensea
0xc4ae5b3eca9500fff85df7b7704dce6763897f552813a7f09be9ab14743a4f4a,1575644741,2019-12-06 15:05:41,Bought,0xcb7e9e305fa4afa4cf5b414120c560ad3ed75a53,Sandbox's LANDs,86682,ERC721,1,0.448 ETH ($66.77888),Opensea
0xb9d821fc0c44dc6f3f9f3094ee351457fcd92d8797b0641efec898c70cd3edf6,1575645968,2019-12-06 15:26:08,Bought,0xb78e3e8bd36b3228322d0a9d3271b5fbb7997fa3,Sandbox's LANDs,97697,ERC721,1,0.348 ETH ($51.872879999999995),Opensea
0xfed75e819c6d49883607a1a039755b501afe9d325bae0123e4d7282a6422463d,1575652824,2019-12-06 17:20:24,Bought,0xe6be2096dbe9560cfb01b45804514d075d6585bc,Sandbox's LANDs,97685,ERC721,1,0.348 ETH ($51.872879999999995),Opensea
0xd2109133ea614560d4dc4b09055557ecd857710cbdad1a7ab389cedcc54cb528,1575652998,2019-12-06 17:23:18,Bought,0xe6be2096dbe9560cfb01b45804514d075d6585bc,Sandbox's LANDs,96033,ERC721,1,0.35 ETH ($52.171),Opensea
0x3b5b754780cfc97e97d7a3bf21904f1e65515e161b11813b77a67f627e2ef623,1575665219,2019-12-06 20:46:59,Bought,0xa90907d49f86500d91a664ef7a66d9d35ff6fc5c,Sandbox's LANDs,106647,ERC721,1,0.34 ETH ($50.680400000000006),Opensea
0x83aa35735a3a7cc0e133c8e0bb9336fda83f563fa472969a5a6ef067bd8c8dc8,1575687484,2019-12-07 02:58:04,Bought,0x2ee92c196d63f2313a52c4bb48f427361460636b,Sandbox's LANDs,89955,ERC721,1,0.6 ETH ($88.512),Opensea
0xd299576533e362edab3bf2aef9c0591a489868372f81769ff77d0366f821443a,1575728960,2019-12-07 14:29:20,Bought,0x672817a6f2a7565c4dd7ff5294446d058225cc85,Sandbox's LANDs,90353,ERC721,1,0.398 ETH ($58.71296000000001),Opensea
0x430e2653a55d10508d7417576c104b53fe3abf163a9b0d1437677b4e2e533d12,1575801610,2019-12-08 10:40:10,Bought,0x288def8225b9e150dc8789e5291cfc5c7e35eb35,Sandbox's LANDs,97675,ERC721,1,0.4 ETH ($60.376000000000005),Opensea
0x4005160c1b961904064b91cdeaf144a0bd9c420e6215d3ea804cdc319f9c6a08,1575861869,2019-12-09 03:24:29,Bought,0x3ef342908f3a8b20127bda3a11ad7a62adbfad5c,Sandbox's LANDs,87066,ERC721,1,0.35 ETH ($51.6355),Opensea
0x4005160c1b961904064b91cdeaf144a0bd9c420e6215d3ea804cdc319f9c6a08,1575861869,2019-12-09 03:24:29,Bought,0x3ef342908f3a8b20127bda3a11ad7a62adbfad5c,Sandbox's LANDs,87067,ERC721,1,0.35 ETH ($51.6355),Opensea
0x4005160c1b961904064b91cdeaf144a0bd9c420e6215d3ea804cdc319f9c6a08,1575861869,2019-12-09 03:24:29,Bought,0x3ef342908f3a8b20127bda3a11ad7a62adbfad5c,Sandbox's LANDs,87068,ERC721,1,0.35 ETH ($51.6355),Opensea
